CMake File,Target,Dependencies
.\vcpkg\ports\libirecovery\CMakeLists.txt,irecovery,"unofficial::getopt-win32::getopt, Ws2_32, ""-framework, IOKit"", ""-framework, CoreFoundation"", PkgConfig::libusb, libirecovery, PkgConfig::readline"
.\vcpkg\ports\liblbfgs\CMakeLists.txt,lbfgs,
.\vcpkg\ports\liblinear\CMakeLists.txt,blas,
.\vcpkg\ports\liblinear\CMakeLists.txt,liblinear,"""-DEF:${CMAKE_CURRENT_SOURCE_DIR}/linear.def"""
.\vcpkg\ports\liblinear\CMakeLists.txt,train,liblinear
.\vcpkg\ports\liblinear\CMakeLists.txt,predict,liblinear
.\vcpkg\ports\liblzf\CMakeLists.txt,liblzf,
.\vcpkg\ports\libmpeg2\CMakeLists.txt,mpeg2,
.\vcpkg\ports\libmpeg2\CMakeLists.txt,mpeg2convert,
.\vcpkg\ports\libmpeg2\CMakeLists.txt,getopt,
.\vcpkg\ports\libmpeg2\CMakeLists.txt,vo,mpeg2convert
.\vcpkg\ports\libmpeg2\CMakeLists.txt,mpeg2dec,"getopt, vo, mpeg2convert, mpeg2, gdi32"
.\vcpkg\ports\libmpeg2\CMakeLists.txt,extract_mpeg2,getopt
.\vcpkg\ports\libmpeg2\CMakeLists.txt,corrupt_mpeg2,getopt
.\vcpkg\ports\libmspack\CMakeLists.txt,libmspack,
.\vcpkg\ports\libmupdf\CMakeLists.txt,bin2coff,
.\vcpkg\ports\libmupdf\CMakeLists.txt,libmupdf,"freetype, harfbuzz::harfbuzz, ${JBIG2DEC_LIBRARY}, JPEG::JPEG, openjp2, unofficial::gumbo::gumbo, ZLIB::ZLIB, $<$<BOOL:${ENABLE_OCR}>:leptonica>, $<$<BOOL:${ENABLE_OCR}>:Tesseract::libtesseract>, $<$<BOOL:${ANDROID}>:log>"
.\vcpkg\ports\libodb\CMakeLists.txt,libodb,
.\vcpkg\ports\libodb-boost\CMakeLists.txt,libodb-boost,odb::libodb
.\vcpkg\ports\libodb-mysql\CMakeLists.txt,libodb-mysql,"odb::libodb, ${MYSQL_LIB}"
.\vcpkg\ports\libodb-pgsql\CMakeLists.txt,libodb-pgsql,"odb::libodb, ${PostgreSQL_LIBRARY}"
.\vcpkg\ports\libodb-sqlite\CMakeLists.txt,libodb-sqlite,"odb::libodb, unofficial::sqlite3::sqlite3"
.\vcpkg\ports\libopenmpt\CMakeLists.txt,libopenmpt,"MPG123::libmpg123, Vorbis::vorbisfile, Vorbis::vorbis, ZLIB::ZLIB"
.\vcpkg\ports\libopusenc\CMakeLists.txt,opusenc,${OPUS_LIBRARY}
.\vcpkg\ports\libp7client\CMakeLists.txt,P7,"""ws2_32"""
.\vcpkg\ports\libpff\CMakeLists.txt,${PROJECT_NAME},ZLIB::ZLIB
.\vcpkg\ports\libplist\CMakeLists.txt,libplist,m
.\vcpkg\ports\libplist\CMakeLists.txt,libplist++,libplist
.\vcpkg\ports\libplist\CMakeLists.txt,plistutil,libplist
.\vcpkg\ports\libpopt\CMakeLists.txt,popt,
.\vcpkg\ports\libqcow\CMakeLists.txt,${PROJECT_NAME},"ZLIB::ZLIB, OpenSSL::Crypto"
.\vcpkg\ports\librtmp\CMakeLists.txt,rtmp,"${ZLIB_LIBRARIES}, ${OPENSSL_LIBRARIES}, Ws2_32.lib, Winmm.lib"
.\vcpkg\ports\libsmacker\CMakeLists.txt,libsmacker,
.\vcpkg\ports\libsmacker\CMakeLists.txt,driver,libsmacker
.\vcpkg\ports\libsmacker\CMakeLists.txt,smk2avi,libsmacker
.\vcpkg\ports\libsonic\CMakeLists.txt,libsonic,
.\vcpkg\ports\libsonic\CMakeLists.txt,sonic,libsonic
.\vcpkg\ports\libstemmer\CMakeLists.txt,stemmer,
.\vcpkg\ports\libstk\CMakeLists.txt,libstk,
.\vcpkg\ports\libsvm\CMakeLists.txt,libsvm,
.\vcpkg\ports\libsvm\CMakeLists.txt,svm-predict,libsvm
.\vcpkg\ports\libsvm\CMakeLists.txt,svm-scale,libsvm
.\vcpkg\ports\libsvm\CMakeLists.txt,svm-train,libsvm
.\vcpkg\ports\libsvm\CMakeLists.txt,svm-toy,libsvm
.\vcpkg\ports\libtess2\CMakeLists.txt,libtess2,
.\vcpkg\ports\libtheora\CMakeLists.txt,theora-common,Ogg::ogg
.\vcpkg\ports\libtheora\CMakeLists.txt,theora-enc,Ogg::ogg
.\vcpkg\ports\libtheora\CMakeLists.txt,theora-dec,Ogg::ogg
.\vcpkg\ports\libtheora\CMakeLists.txt,theora,Ogg::ogg
.\vcpkg\ports\libtheora\CMakeLists.txt,theoraenc,Ogg::ogg
.\vcpkg\ports\libtheora\CMakeLists.txt,theoradec,Ogg::ogg
.\vcpkg\ports\libu2f-server\CMakeLists.txt,libu2f-server,"OpenSSL::SSL, OpenSSL::Crypto, json-c::json-c"
.\vcpkg\ports\libudis86\CMakeLists.txt,libudis86,
.\vcpkg\ports\libudis86\CMakeLists.txt,udcli,libudis86
.\vcpkg\ports\libunibreak\CMakeLists.txt,unibreak,
